payments,revenue,refund_amount,refund_ratio,pg_fee,contribution_before_variable_opex,within_72h_renewals,after_72h_renewals,main_expiries,sub_expiries,main_to_sub_conversions,renewal_rank_assessments,payback_qualifications,active_users_end,active_user_days,scenario
2002,58058000,2998600.0,0.051648351648351645,2171369.2,52558030.8,806,196,225,1777,150,33,205,0,53230.0,기준
1934,56086000,2407000.0,0.042916235780765255,2097616.4000000004,51251383.6,743,191,175,1759,113,22,163,0,50894.0,기준
1927,55883000,2697000.0,0.048261546445251685,2090024.2000000002,50765975.8,761,166,197,1729,137,20,183,1,51257.0267776415,기준
1922,55738000,2560700.0,0.0459417273673257,2084601.2000000002,50762698.8,735,187,192,1728,123,22,176,2,50726.74002249454,기준
1893,54897000,2476600.0,0.045113576333861594,2053147.8,50037252.2,707,186,178,1715,104,26,169,0,50046.0,기준
1916,55564000,2810100.0,0.0505741127348643,2078093.6,50345806.4,716,200,205,1711,131,31,192,0,50932.0,기준
2007,58203000,3175500.0,0.05455904334828102,2176792.2,52520707.8,813,194,225,1782,145,36,216,0,53132.0,기준
1887,54723000,2752100.0,0.05029146793852676,2046640.2000000002,49594259.8,726,161,206,1680,137,17,188,1,50075.92122035628,기준
1911,55419000,3013100.0,0.054369440083725795,2072670.6,50003229.4,718,193,217,1694,140,27,206,0,50576.0,기준
1978,57362000,2560700.0,0.04464105156723964,2145338.8000000003,52325961.2,763,215,188,1789,130,18,176,1,52068.120366486895,기준
1872,54288000,2665100.0,0.04909188034188034,2030371.2000000002,49262528.8,683,189,194,1678,122,15,182,0,49490.0,기준
1836,53244000,2540400.0,0.04771241830065359,1991325.6,48382274.4,677,159,191,1645,119,21,174,0,48485.0,기준
1963,56927000,2647700.0,0.046510443199184924,2129069.8000000003,51820230.2,779,184,197,1766,129,26,182,0,51311.0,기준
1890,54810000,2882600.0,0.052592592592592594,2049894.0000000002,49547506.0,712,178,210,1680,138,23,197,0,49977.0,기준
1960,56840000,2766600.0,0.0486734693877551,2125816.0,51617584.0,784,176,204,1754,141,19,189,2,51463.44684668288,기준
2024,58696000,2839100.0,0.0483695652173913,2195230.4000000004,53331669.6,811,213,208,1814,144,25,194,2,53410.57355921599,기준
1906,55274000,2633200.0,0.04763903462749213,2067247.6,50243552.4,719,187,192,1714,123,28,181,0,50201.0,기준
1907,55303000,2836200.0,0.05128474042999476,2068332.2000000002,50068467.8,712,195,205,1702,121,31,192,0,50479.0,기준
1977,57333000,3076900.0,0.053667172483560954,2144254.2,51781845.8,768,209,225,1752,128,35,211,0,52216.0,기준
1971,57159000,3013100.0,0.05271435819381025,2137746.6,51678153.4,784,187,221,1750,139,28,206,0,52129.0,기준
1941,56289000,2836200.0,0.05038639876352396,2105208.6,51017591.4,716,225,200,1741,133,24,192,0,51471.0,기준
1977,57333000,2760800.0,0.04815376833586242,2144254.2,52097945.8,786,191,201,1776,128,29,188,0,52017.0,기준
1931,55999000,2784000.0,0.04971517348524081,2094362.6,50790637.4,728,203,208,1723,141,25,189,0,51038.0,기준
